"trade_id","trade_name","trade_group","trade_parent_group","booking_country_id","booking_country","selling_country_id","selling_country"
"3","Server Performane Monitoring","","Internal Testing","57","England","57","England"
"5","Worldwide Hotel Link - Albatravel Group","WS_WHL","Worldwide Hotel Link","57","England","57","England"
"6","Restel B2C","WS_Restel","Hotusa-Restel Group","57","England","57","England"
"7","Destinations of the World - Dubai","WS_DOTW","Destinations of the World","57","England","57","England"
"8","SERHS B2C","WS_SERHS","Serhs","57","England","57","England"
"10","HoneyCount","","B2C HoneyCount","57","England","57","England"
"20","HotelsPro DMCC B2B","WS_HotelsPro","Hotelspro DMCC","57","England","57","England"
"23","Reservwire B2B Test","Internal Testing","Internal Testing","57","England","57","England"
"24","Special Tours B2B","WS_SpecialTours","Special Tours Wholesalers Ltd","57","England","57","England"
"25","TESTEhTest","Internal Testing","Internal Testing","57","England","57","England"
"30","AMC Travel","Schiphol Travel","Schiphol Travel","57","England","57","England"
"31","TravelXL Bodegraven","TravelXL","TravelXL Parent","57","England","57","England"
"32","Uniglobe Benelux Axon Leuven","Uniglobe BE","Uniglobe Benelux Parent","57","England","57","England"
"33","Travelwise BT ( Ossett) (CAPS) J8349","Advantage","Advantage Head Office / Parent","57","England","57","England"
"41","Worldwide Hotel Link IBERICA SL mad","WS_WHL","Worldwide Hotel Link","57","England","57","England"
"42","HotelsClick Srl","WS_WHL","Worldwide Hotel Link","57","England","57","England"
"43","AIC TRAVEL GROUP SA","WS_WHL","Worldwide Hotel Link","57","England","57","England"
"44","THE REVEAL SRL","WS_WHL","Worldwide Hotel Link","57","England","57","England"
"45","Albatravel Switzerland Sagl","WS_WHL","Worldwide Hotel Link","57","England","57","England"
"46","Albatravel France","WS_WHL","Worldwide Hotel Link","57","England","57","England"
"47","Albatravel Venezia Srl","WS_WHL","Worldwide Hotel Link","57","England","57","England"
"48","Albatravel Genova Srl","WS_WHL","Worldwide Hotel Link","57","England","57","England"
"49","Albatravel Lecce Srl","WS_WHL","Worldwide Hotel Link","57","England","57","England"
"50","Albatravel Messina Srl","WS_WHL","Worldwide Hotel Link","57","England","57","England"
"51","Albatravel Milano Srl","WS_WHL","Worldwide Hotel Link","57","England","57","England"
"52","Albatravel Pescara Srl","WS_WHL","Worldwide Hotel Link","57","England","57","England"
"53","WORLDWIDE HOTEL LINK UK LTD","WS_WHL","Worldwide Hotel Link","57","England","57","England"
"54","Avitour Bulles Voyages","Avitour Belgium","Avitour Belgium Parent","57","England","57","England"
"55","CAGEP VGES","Tourcom","Tourcom Head Office","57","England","57","England"
"56","Carnet Viaggi Roma","","Independents - Italy & Ticino","57","England","57","England"
"57","ER Travel Stockholm","VIA Sweden","VIA Sweden Partners","57","England","57","England"
"58","Globetrotter Bern Neuengasse","Globetrotter EH","Globetrotter Head Office","57","England","57","England"
"59","Hotelplan MTCH AG Zürich Migros-City","HOTELPLAN","MTCH Suisse","57","England","57","England"
"60","Bontour Business","Simone Independent NL","Benelux Independent NL Parent","27","Netherlands","27","Netherlands"
"61","Peter Demo","","","57","England","57","England"
"62","Selectour Orelis Rue de l'Echelle","","Selectour Orelis Head Office Rue de Rennes","57","England","57","England"
"63","Serenella Viaggi E Tempo Libero Milano","","Independents - Italy & Ticino","57","England","57","England"
"64","Uniglobe UK Total","Uniglobe UK","Uniglobe UK Parent","57","England","57","England"
"65","Viatges Euronova-Vilanova","Beroni","AVASA","57","England","57","England"
"66","Total TSG Business Trips","","TSG Expenses","57","England","57","England"
"67","Travel Republic (UK)","WS_Travel Republic","Travel Republic","57","England","57","England"
"70","Aspen Travel (B.T.) (CAPS) 89264","Advantage","Advantage Head Office / Parent","57","England","57","England"
"71","Bellingham Travel (Bath St) Business","Advantage","Advantage Head Office / Parent","57","England","57","England"
"72","Charlie Reid Travel (CAPS) 80486","Advantage","Advantage Head Office / Parent","57","England","57","England"
"73","Connoisseur Travel (CAPS) K0692","Advantage","Advantage Head Office / Parent","57","England","57","England"
"74","Cruisespesialisten AS Bergen","","Independent Parent Norway","57","England","57","England"
"75","CSR Travel (CAPS) 17779","Advantage","Advantage Head Office / Parent","57","England","57","England"
"76","Dovetail Foks","","","57","England","57","England"
"77","Kanoo Travel (Bristol)","Kanoo Travel","Kanoo Travel","57","England","57","England"
"79","Newell's Truro Travel 26072","Worldchoice","Worldchoice ACAS Partner","57","England","57","England"
"80","R E B Travel Services (Worldchoice) 25830","Worldchoice","Worldchoice ACAS Partner","57","England","57","England"
"81","Scotts Travel (London) (Worldchoice)","Worldchoice","Worldchoice ACAS Partner","57","England","57","England"
"83","Uni-Travel Limited (Lancaster) (CAPS) 82208","Advantage","Advantage Head Office / Parent","57","England","57","England"
"84","Vejle Rejser","Independents Denmark","Independent Parent Denmark","57","England","57","England"
